['SLOT', 'PLAYER', 'TEAM', 'POS\tACQ', '']
C,Gary Sanchez,1.59,19.1
1B,Matt Carpenter,0.86,187
2B,DJ LeMahieu,-1.54,137.1
3B,Nicholas Castellanos,1.62,94.8
SS,Trea Turner,4.58,4.5
2B/SS,Paul DeJong,1.95,151.7
1B/3B,Justin Bour,-0.24,201.4
OF,Marcell Ozuna,0.68,47.2
OF,Tommy Pham,2.85,57.7
OF,Nomar Mazara,0.66,152.9
OF,Billy Hamilton,1.80,71.3
OF,Stephen Piscotty,0.43,286.4
UTIL,Jonathan Lucroy,-2.53,203.9
P,Corey Kluber,8.099,13.4
P,Craig Kimbrel,13.590,45.2
P,Corey Knebel,10.017,67.3
P,Raisel Iglesias,5.600,97.7
P,Dellin Betances,8.254,280.8
P,Blake Parker,6.132,237.1
P,Keone Kela,4.340,332.1
P,Nate Jones,3.659,330
['P', ' ', '', '', '']
['P', ' ', '', '', '']
['P', ' ', '', '', '']
['P', ' ', '', '', '']
Bench,Josh Donaldson,3.24,32.3
Bench,Zack Greinke,3.811,49
Bench,Yasiel Puig,1.90,109.5
Bench,Luke Weaver,0.464,108
Bench,Chris Taylor,0.64,94.4
Bench,Jake Lamb,2.01,138.4
Bench,Dylan Bundy,-0.568,192.3
Bench,Michael Wacha,0.826,220.4
Bench,Zack Cozart,-0.81,222.2
Propose Trade,,5.784,294.9
,,5.784,294.9
DAGOBAH FANTASYNOOBS (0-0),,5.784,294.9
['SLOT', 'PLAYER', 'TEAM', 'POS\tACQ', '']
C,Yadier Molina,-1.85,152.3
1B,Anthony Rizzo,8.76,25.7
2B,Jonathan Schoop,3.27,64.2
3B,Eugenio Suarez,1.91,186.5
SS,Jean Segura,1.59,74.4
2B/SS,Jose Peraza,0.10,209.6
1B/3B,Wil Myers,2.52,64.1
OF,Bryce Harper,2.79,8.8
OF,Eddie Rosario,0.57,125
OF,Manuel Margot,-0.53,137.9
OF,Gregory Polanco,0.08,144.9
OF,Trey Mancini,0.61,151.9
UTIL,Wilson Ramos,-2.40,158.9
P,Chris Sale,7.644,12
P,Luis Severino,5.805,31.9
P,Roberto Osuna,8.126,76.2
P,Aaron Nola,3.615,60.6
P,Kyle Hendricks,1.358,112.4
P,Brad Hand,8.759,104.2
P,Alex Colome,3.451,128.2
P,Kevin Gausman,0.029,199
P,Arodys Vizcaino,4.677,149.9
P,Garrett Richards,0.809,162
P,Brad Brach,3.724,206.4
P,Chase Anderson,-0.936,175.4
Bench,George Springer,4.23,31.4
Bench,Miguel Sano,1.80,112.1
Bench,Marwin Gonzalez,-0.86,122.7
Bench,Mark Melancon,4.513,179.8
Bench,Fernando Rodney,1.609,220.4
Propose Trade,,5.784,294.9
,,5.784,294.9
KIPNIS KREW (0-0),,5.784,294.9
['SLOT', 'PLAYER', 'TEAM', 'POS\tACQ', '']
C,Buster Posey,-0.91,59.8
1B,Paul Goldschmidt,4.38,7.6
2B,Javier Baez,2.56,104.9
3B,Anthony Rendon,2.00,55.7
SS,Corey Seager,1.28,43.5
2B/SS,Eduardo Nunez,-1.60,135.8
1B/3B,Carlos Santana,1.20,173.1
OF,Mookie Betts,3.30,7.8
OF,Ryan Braun,2.11,121.2
OF,Domingo Santana,1.16,101.1
OF,Jay Bruce,0.08,161.5
OF,Eric Thames,1.17,221.9
UTIL,Brett Gardner,-0.23,177.8
P,Noah Syndergaard,5.020,28.4
P,Robbie Ray,5.125,47.1
P,Edwin Diaz,8.589,88.8
P,James Paxton,4.775,74.2
P,Luis Castillo,1.795,92
P,Archie Bradley,5.398,186.3
P,Hector Neris,3.936,140.3
P,Charlie Morton,1.083,168
P,Michael Fulmer,0.016,193.1
P,Julio Teheran,-1.131,231.8
P,Tommy Kahnle,4.883,454.8
['P', 'Chris Devenski', 'Hou', 'RP\t', '']
Bench,Jose Ramirez,-0.876,633.6
Bench,Andrew McCutchen,1.63,93
Bench,Jason Kipnis,0.21,229.3
Bench,Orlando Arcia,-0.68,182.6
Bench,Evan Longoria,0.52,206.2
Propose Trade,,5.784,294.9
,,5.784,294.9
THE SALTY PRETZELS (0-0),,5.784,294.9
['SLOT', 'PLAYER', 'TEAM', 'POS\tACQ', '']
C,Evan Gattis,1.24,141.3
1B,Cody Bellinger,3.91,26.8
2B,Yoan Moncada,1.27,132.2
3B,Nolan Arenado,4.03,4.5
SS,Trevor Story,3.27,113
2B/SS,Whit Merrifield,1.24,69
1B/3B,Matt Davidson,0.14,405.9
OF,Giancarlo Stanton,7.03,8.1
OF,Rhys Hoskins,3.66,48.8
OF,Adam Eaton,1.42,154
OF,Jose Martinez,-4.53,251.3
OF,Corey Dickerson,-0.02,225.6
UTIL,Aaron Judge,4.05,19.9
P,Carlos Carrasco,2.968,35.3
P,Dallas Keuchel,2.442,75
P,Aroldis Chapman,11.766,63.2
P,Jake Arrieta,2.842,103.2
P,Jose Berrios,0.582,103.4
P,Jon Lester,3.290,116.3
P,Zack Godley,0.392,117.2
P,Gio Gonzalez,0.143,155.6
['P', 'Jacob Faria', 'TB', 'SP', '']
P,J.A. Happ,0.787,249
P,Patrick Corbin,-1.315,226.6
['P', ' ', '', '', '']
Bench,Nelson Cruz,3.47,59.5
Bench,Rougned Odor,4.89,104.5
Bench,Justin Turner,1.09,110.2
Bench,Adam Duvall,1.46,179.9
Bench,Delino DeShields,1.25,172.2
Bench,Jeff Samardzija,2.733,154.3
