PABST BLUE RIBBON BRAW... (0-0),,,,
2B/SS,Paul DeJong,StL,SS, 2B 	
1B/3B,Justin Bour,Mia,1B,
OF,Marcell Ozuna,StL,OF,
OF,Tommy Pham,StL,OF,
OF,Nomar Mazara,Tex,OF	,
OF,Billy Hamilton,Cin,OF,
OF,Stephen Piscotty,Oak,OF,
UTIL,Jonathan Lucroy,Oak,C,
P,Corey Kluber,Cle,SP	,
P,Craig Kimbrel,Bos,RP,
P,Corey Knebel,Mil,RP	,
P,Raisel Iglesias,Cin,RP,
P,Dellin Betances,NYY,RP,
P,Blake Parker,LAA,RP	,
P,Keone Kela,Tex,RP,
P,Nate Jones,CWS,RP,
P, ,,,
P, ,,,
P, ,,,
P, ,,,
Bench,Josh Donaldson,Tor,3B,
Bench,Zack Greinke,Ari,SP,
Bench,Yasiel Puig,LAD,OF,
Bench,Luke Weaver,StL,SP,
Bench,Chris Taylor,LAD,2B, OF 	
Bench,Jake Lamb,Ari,3B,
Bench,Dylan Bundy,Bal,SP,
Bench,Michael Wacha,StL,SP,
Bench,Zack Cozart,LAA,SS,
Propose Trade,,,,
,,,,
DAGOBAH FANTASYNOOBS (0-0),,,,
SLOT,PLAYER,TEAM,POS	ACQ,
C,Yadier Molina,StL,C,
1B,Anthony Rizzo,ChC,1B	,
2B,Jonathan Schoop,Bal,2B,
3B,Eugenio Suarez,Cin,3B,
SS,Jean Segura,Sea,SS,
2B/SS,Jose Peraza,Cin,SS, 2B 	
1B/3B,Wil Myers,SD,1B,
OF,Bryce Harper,Wsh,OF,
OF,Eddie Rosario,Min,OF,
OF,Manuel Margot,SD,OF,
OF,Gregory Polanco,Pit,OF,
OF,Trey Mancini,Bal,1B, OF 	
UTIL,Wilson Ramos,TB,C,
P,Chris Sale,Bos,SP,
P,Luis Severino,NYY,SP,
P,Roberto Osuna,Tor,RP,
P,Aaron Nola,Phi,SP,
P,Kyle Hendricks,ChC,SP,
P,Brad Hand,SD,RP,
P,Alex Colome,TB,RP	,
P,Kevin Gausman,Bal,SP,
P,Arodys Vizcaino,Atl,RP,
P,Garrett Richards,LAA,SP,
P,Brad Brach,Bal,RP	,
P,Chase Anderson,Mil,SP,
Bench,George Springer,Hou,OF	,
Bench,Miguel Sano,Min,3B, DH 	
Bench,Marwin Gonzalez,Hou,SS, 1B
Bench,Mark Melancon,SF,RP,
Bench,Fernando Rodney,Min,RP,
Propose Trade,,,,
,,,,
KIPNIS KREW (0-0),,,,
SLOT,PLAYER,TEAM,POS	ACQ,
C,Buster Posey,SF,C, 1B 	
1B,Paul Goldschmidt,Ari,1B,
2B,Javier Baez,ChC,SS, 2B 	
3B,Anthony Rendon,Wsh,3B,
SS,Corey Seager,LAD,SS,
2B/SS,Eduardo Nunez,Bos,2B, 3B
1B/3B,Carlos Santana,Phi,1B	,
OF,Mookie Betts,Bos,OF,
OF,Ryan Braun,Mil,OF,
OF,Domingo Santana,Mil,OF,
OF,Jay Bruce,NYM,OF,
OF,Eric Thames,Mil,1B, OF 	
UTIL,Brett Gardner,NYY,OF	,
P,Noah Syndergaard,NYM,SP,
P,Robbie Ray,Ari,SP,
P,Edwin Diaz,Sea,RP,
P,James Paxton,Sea,SP,
P,Luis Castillo,Cin,SP,
P,Archie Bradley,Ari,RP	,
P,Hector Neris,Phi,RP	,
P,Charlie Morton,Hou,SP,
P,Michael Fulmer,Det,SP,
P,Julio Teheran,Atl,SP,
P,Tommy Kahnle,NYY,RP	,
P,Chris Devenski,Hou,RP	,
Bench,Jose Ramirez,Cle,2B, 3B 	
Bench,Andrew McCutchen,SF,OF,
Bench,Jason Kipnis,Cle,2B,
Bench,Orlando Arcia,Mil,SS,
Bench,Evan Longoria,SF,3B,
Propose Trade,,,,
,,,,
THE SALTY PRETZELS (0-0),,,,
SLOT,PLAYER,TEAM,POS	ACQ,
C,Evan Gattis,Hou,C, DH 	
1B,Cody Bellinger,LAD,1B, OF 	
2B,Yoan Moncada,CWS,2B,
3B,Nolan Arenado,Col,3B,
SS,Trevor Story,Col,SS,
2B/SS,Whit Merrifield,KC,2B,
1B/3B,Matt Davidson,CWS,3B, DH 	
OF,Giancarlo Stanton,NYY,OF,
OF,Rhys Hoskins,Phi,1B, OF	
OF,Adam Eaton,Wsh,OF,
OF,Jose Martinez,StL,1B, OF 	
OF,Corey Dickerson,Pit,OF, DH 	
UTIL,Aaron Judge,NYY,OF,
P,Carlos Carrasco,Cle,SP,
P,Dallas Keuchel,Hou,SP,
P,Aroldis Chapman,NYY,RP	,
P,Jake Arrieta,Phi,SP,
P,Jose Berrios,Min,SP,
P,Jon Lester,ChC,SP,
P,Zack Godley,Ari,SP,
P,Gio Gonzalez,Wsh,SP,
P,Jacob Faria,TB,SP,
P,J.A. Happ,Tor,SP,
P,Patrick Corbin,Ari,SP,
P, ,,,
Bench,Nelson Cruz,Sea,DH,
Bench,Rougned Odor,Tex,2B,
Bench,Justin Turner,LAD,3B,
Bench,Adam Duvall,Cin,OF,
Bench,Delino DeShields,Tex,OF,
Bench,Jeff Samardzija,SF,SP,
